hr, Load Com, Load Res, Load Ind, wnd spd 1, wnd spd 2, wnd spd 3, sun irr 1, sun irr 2, sun irr 3
0, 0.60, 0.50, 0.60, 2.66116, 2.70032, 2.46986, 0, 0, 0
1, 0.55, 0.40, 0.62, 2.55806, 2.61304, 2.34885, 0, 0, 0
2, 0.50, 0.35, 0.60, 2.48138, 2.52476, 2.23665, 0, 0, 0
3, 0.45, 0.38, 0.55, 2.43398, 2.46892, 2.22298, 0, 0, 0
4, 0.55, 0.45, 0.60, 2.41079, 2.46391, 2.16433, 0, 0, 0
5, 0.60, 0.50, 0.60, 2.39511, 2.38553, 2.22766, 0, 0, 0
6, 0.61, 0.61, 0.70, 2.49632, 2.5492, 2.27178, 5.42166, 18.1607, 0
7, 0.62, 0.70, 0.80, 2.64101, 2.75636, 2.5756, 41.05688, 83.66203, 23.32666
8, 0.65, 0.73, 0.90, 2.86751, 2.97819, 2.77986, 250.67528, 292.07749, 219.13191
9, 0.70, 0.65, 1.00, 2.91401, 3.00115, 2.92127, 483.91317, 508.20437, 462.88657
10, 0.73, 0.63, 0.72, 2.82718, 2.9268, 2.85247, 706.1368, 689.81153, 667.10234
11, 0.90, 0.60, 0.66, 2.85365, 2.94922, 2.8631, 865.59577, 849.71837, 845.27836
12, 1.00, 0.59, 0.55, 2.92234, 3.02735, 2.85356, 976.39382, 951.54784, 963.02595
13, 1.00, 0.55, 0.57, 3.06162, 3.11703, 2.94027, 1023.70257, 968.79824, 1022.29897
14, 0.95, 0.53, 0.64, 3.26233, 3.39899, 3.0661, 980.69926, 924.51913, 998.62448
15, 1.00, 0.50, 0.69, 3.52481, 3.62197, 3.22082, 878.86187, 815.69982, 895.73193
16, 0.85, 0.55, 0.76, 3.71774, 3.77845, 3.39699, 709.57672, 637.62996, 723.85062
17, 0.87, 0.60, 0.82, 4.04351, 4.04451, 3.60932, 488.60131, 425.17687, 491.17758
18, 0.92, 0.70, 0.87, 3.9105,	3.90552, 3.5179, 251.88608, 196.42157, 254.85891
19, 0.89, 0.80, 0.90, 3.82276, 3.80437, 3.57651, 37.46508, 32.35216, 35.54164
20, 0.80, 1.00, 0.85, 3.72261, 3.66883, 3.4127, 3.58765, 1.75601, 0
21, 0.75, 0.80, 0.80, 3.44485, 3.38285, 3.18128, 0, 0, 0
22, 0.71, 0.70, 0.75, 3.18093, 3.10773, 2.90549, 0, 0, 0
23, 0.65, 0.55, 0.70, 2.89689, 2.83444, 2.64071, 0, 0, 0
















